query_id,fold,control_ndcg10,physical_metric_ndcg10,control_track_rmse_km,physical_metric_track_rmse_km
physical_query_102,report_2015_2016,0.07336392209936,0.3885264725763437,2215.011962890625,658.919189453125
physical_query_103,report_2015_2016,0.1446524924330643,0.3031595321740454,3044.426513671875,1059.7423095703125
physical_query_104,report_2015_2016,0.0,0.158507039740981,2290.392333984375,2418.6650390625
physical_query_105,report_2015_2016,0.3589542101716347,0.4631896595828493,547.5517578125,547.5517578125
physical_query_106,report_2015_2016,0.07336392209936,0.6064391805443411,1063.421142578125,246.39251708984372
physical_query_107,report_2015_2016,0.0694312219367772,0.0783982689786753,3228.572509765625,1265.2149658203125
physical_query_108,report_2015_2016,0.0,0.2816372027313761,2405.36865234375,1639.9608154296875
physical_query_109,report_2015_2016,0.0694312219367772,0.2816575879096919,312.5169372558594,312.5169372558594
physical_query_110,report_2015_2016,0.0,0.2200917662980802,941.2691650390624,670.5308227539062
physical_query_111,report_2015_2016,0.0,0.1100458831490401,909.7833862304688,902.2714233398438
physical_query_112,report_2015_2016,0.1427951440361373,0.0783982689786753,1044.794677734375,1319.2935791015625
physical_query_113,report_2015_2016,0.0,0.0,2002.0460205078125,2159.958251953125
physical_query_114,report_2015_2016,0.1356854453911663,0.4373524791503101,1247.2559814453125,405.5102233886719
physical_query_115,report_2015_2016,0.0,0.2122263659729146,2146.401123046875,986.428466796875
physical_query_116,report_2015_2016,0.0783982689786753,0.0,934.4243774414062,1175.7354736328125
physical_query_117,report_2015_2016,0.0783982689786753,0.6149518506608848,1171.9520263671875,851.6961059570312
physical_query_118,report_2015_2016,0.0,0.066254223454389,3010.14892578125,3010.14892578125
physical_query_119,report_2015_2016,0.1100458831490401,0.4911802372710601,2550.3056640625,456.67181396484375
physical_query_120,report_2015_2016,0.0,0.085143117641621,841.5441284179688,2277.204833984375
physical_query_121,report_2015_2016,0.0,0.1388624438735545,1561.4407958984375,2370.451171875
physical_query_122,report_2015_2016,0.1100458831490401,0.0,494.4885864257813,5687.25537109375
physical_query_123,report_2015_2016,0.0,0.0,4344.10986328125,3319.215087890625
physical_query_124,report_2015_2016,0.0,0.2240055615151755,1123.7740478515625,1270.4288330078125
physical_query_125,report_2015_2016,0.0,0.2304738097607171,1245.8114013671875,1137.870361328125
physical_query_126,report_2015_2016,0.0,0.3589542101716347,2720.11474609375,652.9802856445312
physical_query_127,report_2015_2016,0.066254223454389,0.3589542101716347,1059.810302734375,383.3488464355469
physical_query_128,report_2015_2016,0.0,0.142019057177627,1703.7982177734375,991.80224609375
physical_query_129,report_2015_2016,0.4085359184257956,0.3531437764338092,513.0029907226562,442.6182556152344
physical_query_130,report_2015_2016,0.0,0.38113435412202,2907.618408203125,710.2597045898438
physical_query_131,report_2015_2016,0.0,0.2895229882348575,1769.2230224609375,154.378173828125
physical_query_132,report_2015_2016,0.1584091525685025,0.4225749983705865,3445.9130859375,186.0090484619141
physical_query_133,report_2015_2016,0.0,0.164219586306328,1685.284912109375,1433.2952880859375
physical_query_134,report_2015_2016,0.0,0.1388624438735545,2352.576171875,1389.92041015625
physical_query_135,report_2015_2016,0.0,0.1610425878239398,2669.917236328125,1741.136474609375
physical_query_136,report_2015_2016,0.15139734109601,0.0694312219367772,2486.36767578125,2064.29296875
physical_query_137,report_2015_2016,0.0,0.2211934130148126,1536.212646484375,1380.89404296875
physical_query_138,report_2015_2016,0.066254223454389,0.1100458831490401,1955.8660888671875,1493.2152099609375
